ORGAO;orgao_no;orgao_sg;nat_jur_orgao_co;nat_jur_orgao_no;orgao_vinc_co;orgao_vinc_no
99003;TRIBUNAL REGIONAL DO TRABALHO - DF;TRT-DF;1;ADMINISTRACAO DIRETA FEDERAL;99003;TRIBUNAL REGIONAL DO TRABALHO - DF
99004;PROCURADORIA GERAL DA REPUBLICA;PGR;1;ADMINISTRACAO DIRETA FEDERAL;99004;PROCURADORIA GERAL DA REPUBLICA
99005;PREFEITURA MUNICIPAL DE JABOTICATUBAS-MG;PMJ-MG;7;SERVICO PUBLICO MUNICIPAL;99005;PREFEITURA MUNICIPAL DE JABOTICATUBAS-MG
99008;SERVICO DE NAVEGACAO DA BACIA DO PRATA;SNBP;6;SOCIEDADE ECONOMIA  MISTA;99008;SERVICO DE NAVEGACAO DA BACIA DO PRATA
99010;COMPANHIA DE PESQUISA DE REC. MINERAIS;CPRM;5;EMPRESA PUBLICA;32000;MINISTERIO DE MINAS E ENERGIA
99011;EMPRESA BRAS. INFR. EST. AEROPORTUARIA;INFRAERO;5;EMPRESA PUBLICA;49000;MINISTERIO DA INFRAESTRUTURA
99012;TRIBUNAL REGIONAL ELEITORAL - MS;TRE-MS;1;ADMINISTRACAO DIRETA FEDERAL;99012;TRIBUNAL REGIONAL ELEITORAL - MS
99013;HOSPITAL DE CLINICAS DE PORTO ALEGRE;HCPA;5;EMPRESA PUBLICA;15000;MINISTERIO DA EDUCACAO
99014;INDUSTRIA DE MATERIAL BELICO DO BRASIL;IMBEL;5;EMPRESA PUBLICA;40105;MINISTERIO DA DEFESA
99015;CAMARA DOS DEPUTADOS;CD;1;ADMINISTRACAO DIRETA FEDERAL;99015;CAMARA DOS DEPUTADOS
99016;SENADO FEDERAL;SF;1;ADMINISTRACAO DIRETA FEDERAL;99016;SENADO FEDERAL
99017;TRIBUNAL REGIONAL ELEITORAL - PR;TRE-PR;1;ADMINISTRACAO DIRETA FEDERAL;99017;TRIBUNAL REGIONAL ELEITORAL - PR
99018;TRIBUNAL REGIONAL ELEITORAL - ES;TRE-ES;1;ADMINISTRACAO DIRETA FEDERAL;99018;TRIBUNAL REGIONAL ELEITORAL - ES
99019;TRIBUNAL REGIONAL ELEITORAL - SE;TRE-SE;1;ADMINISTRACAO DIRETA FEDERAL;99019;TRIBUNAL REGIONAL ELEITORAL - SE
